,YEAR,MOVIE,GENRE,MPAA RATING,DISTRIBUTOR,TOTAL FOR YEAR,TOTAL IN 2019 DOLLARS,TICKETS SOLD
0,1995,Batman Forever,Drama,PG-13,Warner Bros.,184031112.0,387522978.0,42306002.0
1,1996,Independence Day,Adventure,PG-13,20th Century Fox,306169255.0,634504608.0,69269062.0
2,1997,Men in Black,Adventure,PG-13,Sony Pictures,250650052.0,500207943.0,54607854.0
3,1998,Titanic,Adventure,PG-13,Paramount Pictures,443319081.0,865842808.0,94524324.0
4,1999,Star Wars Ep. I: The Phantom Menace,Adventure,PG,20th Century Fox,430443350.0,776153749.0,84732942.0
5,2000,How the Grinch Stole Christmas,Adventure,PG,Universal,253367455.0,430583644.0,47006948.0
6,2001,Harry Potter and the Sorcerer’s Stone,Adventure,PG,Warner Bros.,300404434.0,486166890.0,53074988.0
7,2002,Spider-Man,Adventure,PG-13,Sony Pictures,403706375.0,636480273.0,69484746.0
8,2003,Finding Nemo,Adventure,G,Walt Disney,339714367.0,516050346.0,56337374.0
9,2004,Shrek 2,Adventure,PG,Dreamworks SKG,441226247.0,650826473.0,71050925.0
10,2005,Star Wars Ep. III: Revenge of the Sith,Action,PG-13,20th Century Fox,380270577.0,543413171.0,59324582.0
11,2006,Pirates of the Caribbean: Dead Man’s Chest,Action,PG-13,Walt Disney,423315812.0,591995851.0,64628368.0
12,2007,Spider-Man 3,Adventure,PG-13,Sony Pictures,336530303.0,448054878.0,48914288.0
13,2008,The Dark Knight,Adventure,PG-13,Warner Bros.,531001578.0,677433772.0,73955652.0
14,2009,Transformers: Revenge of the Fallen,Action,PG-13,Paramount Pictures,402111870.0,491112631.0,53614916.0
15,2010,Toy Story 3,Action,G,Walt Disney,415004880.0,481805411.0,52598844.0
16,2011,Harry Potter and the Deathly Hallows: Part II,Action,PG-13,Warner Bros.,381011219.0,440108798.0,48046812.0
17,2012,The Avengers,Adventure,PG-13,Walt Disney,623357910.0,717331462.0,78311295.0
18,2013,Iron Man 3,Adventure,PG-13,Walt Disney,408992272.0,460808016.0,50306552.0
19,2014,Guardians of the Galaxy,Adventure,PG-13,Walt Disney,333055258.0,373413235.0,40765637.0
20,2015,Star Wars Ep. VII: The Force Awakens,Action,PG-13,Walt Disney,742208942.0,806480887.0,88043765.0
21,2016,Finding Dory,Action,PG,Walt Disney,486295561.0,514967322.0,56219140.0
22,2017,Star Wars Ep. VIII: The Last Jedi,Action,PG-13,Walt Disney,517218368.0,528173936.0,57660910.0
23,2018,Black Panther,Action,PG-13,Walt Disney,700059566.0,703901821.0,76845177.0
24,2019,Avengers: Endgame,Action,PG-13,Walt Disney,858373000.0,858373002.0,93708843.0
25,2020,Bad Boys For Life,Action,R,Sony Pictures,204417855.0,204417848.0,22316359.0
26,2021,Shang-Chi and the Legend of the Ten Rings,Action,PG-13,Walt Disney,224226704.0,224226704.0,24478897.0
